"logFC","logCPM","LR","PValue","FDR","gene","avg_log2FC"
-0.623009319920186,9.2746422229169,13.1868056449505,0.000281927042424907,0.0178088567393159,"GSPT1",-0.623009319920186
0.467821117581764,9.80524321330831,13.0855454225061,0.000297583173605116,0.0185048081486926,"TBC1D5",0.467821117581764
-0.753818572459662,9.05062922358013,13.078244312048,0.000298745335315884,0.0185048081486926,"SNAP23",-0.753818572459662
-0.743237290343355,9.11589753883356,13.0399762363312,0.00030491196524841,0.0187051763296621,"HYCC2",-0.743237290343355
-0.876555241220719,9.00066464241745,12.9688063374938,0.000316723886867235,0.0191187393251925,"C14orf39",-0.876555241220719
-0.806970214415559,9.07116935658818,12.961246514708,0.000318005377876187,0.0191187393251925,"SSB",-0.806970214415559
-0.628449294051376,9.33557291508559,12.9457802248517,0.000320643433823761,0.0191187393251925,"ATAD2B",-0.628449294051376
0.84061565159761,9.16999934649376,12.8384641869043,0.000339566209644943,0.0200595594216179,"NTN1",0.84061565159761
-0.713399849432481,9.17057104734662,12.8110629590587,0.000344575744106789,0.0201687453890029,"CDK8",-0.713399849432481
0.679012983655409,9.20548815255627,12.6668601272237,0.000372194051885459,0.0215872550093566,"SYNRG",0.679012983655409
0.733030328505471,9.03326794385367,12.649828517439,0.000375600127705974,0.0215885478807578,"TFB1M",0.733030328505471
-0.785014944137649,9.06108125255795,12.5368084683715,0.000399013240278457,0.022729504223005,"DESI2",-0.785014944137649
0.667504847890555,9.19057559641587,12.4438873271737,0.000419362040795332,0.0234902204033057,"CYTH1",0.667504847890555
0.7905226840074,9.12892452445009,12.4422438730553,0.000419731210968159,0.0234902204033057,"NEO1",0.7905226840074
0.915087469149717,9.06148617044346,12.2941729057251,0.000454374683701513,0.0252079172349187,"EFCAB6",0.915087469149717
0.733958810200251,9.06858406153203,12.2513723352949,0.000464916109799114,0.0255703860389513,"UCHL5",0.733958810200251
0.734801659349089,9.20112370027341,12.2073700403309,0.000476010909997212,0.0257549435973006,"MEIS1",0.734801659349089
-0.86674590517855,8.98627421308747,12.1926259757313,0.000479787959426715,0.0257549435973006,"C5",-0.86674590517855
-1.42984180328422,9.02267570843252,12.186425627777,0.000481385349686953,0.0257549435973006,"GRAMD1B",-1.42984180328422
0.845793113823602,9.06707661603243,12.1643293532642,0.000487121769031215,0.0257549435973006,"FOSL1",0.845793113823602
-0.71775759789679,9.507715476123,12.1592283016985,0.000488455826845357,0.0257549435973006,"CD63",-0.71775759789679
0.72985609054046,9.02628433698421,12.1168031283155,0.000499694961404921,0.0261315889652738,"DHX8",0.72985609054046
-0.72511511500459,9.09420327260978,12.032883730634,0.000522701459896101,0.0271124822287571,"MRPS5",-0.72511511500459
-0.56864462195547,9.91334854661835,11.9935380665856,0.000533853391772484,0.0273867881224165,"LINC00511",-0.56864462195547
-0.741229088325866,9.05105869871297,11.9840617813252,0.000536575002398443,0.0273867881224165,"ZNF592",-0.741229088325866
0.634210143886282,9.65751357044476,11.9675226481895,0.000541358680141105,0.0274116538039702,"TNS3",0.634210143886282
0.81519630829577,9.17057451455405,11.8789874128014,0.000567707976287242,0.0281338402774818,"SOD2",0.81519630829577
-1.51426765386226,9.06264180866951,11.8749049950372,0.000568953721155593,0.0281338402774818,"ALK",-1.51426765386226
-0.621143380556048,9.25004330396442,11.8666358375926,0.000571485508345331,0.0281338402774818,"OPA1",-0.621143380556048
